"","variable","tr","value","fit","lwrS","uprS"
"528...2139","temp_min_1weeklag","Any WASH Intervention",25.5815368652344,3.40500331705113,2.76345870256127,4.18906793704243
"528...2140","temp_min_1weeklag","Any WASH Intervention",25.5815368652344,3.40500331705113,2.76904130748385,4.18074554542126
"503...2141","temp_min_1weeklag","Any WASH Intervention",25.5818115234375,3.4050461849486,2.76350822374198,4.18909859152136
"503...2142","temp_min_1weeklag","Any WASH Intervention",25.5818115234375,3.4050461849486,2.76909078586159,4.18077634995142
"10918...2143","temp_min_1weeklag","Any WASH Intervention",25.5831848144531,3.40526056635803,2.76375585443811,4.18925193267099
"10918...2144","temp_min_1weeklag","Any WASH Intervention",25.5831848144531,3.40526056635803,2.76933820267156,4.18093044104103
"1360...2145","temp_min_1weeklag","Any WASH Intervention",25.5848327636719,3.40551791627479,2.7640530657518,4.18943609339595
"1360...2146","temp_min_1weeklag","Any WASH Intervention",25.5848327636719,3.40551791627479,2.76963515760548,4.18111550099746
"4673...2147","temp_min_1weeklag","Any WASH Intervention",25.585107421875,3.40556081770873,2.76410260674181,4.18946680291088
"4673...2148","temp_min_1weeklag","Any WASH Intervention",25.585107421875,3.40556081770873,2.76968465589565,4.18114636031034
"11451...2149","temp_min_1weeklag","Any WASH Intervention",25.5866943359375,3.40580874737756,2.7643888758164,4.18964432556759
"11451...2150","temp_min_1weeklag","Any WASH Intervention",25.5866943359375,3.40580874737756,2.76997067842903,4.18132474805178
"11171...2151","temp_min_1weeklag","Any WASH Intervention",25.587060546875,3.40586597516424,2.76445494571081,4.18968531411023
"11171...2152","temp_min_1weeklag","Any WASH Intervention",25.587060546875,3.40586597516424,2.77003669147026,4.18136593612891
"9770...2153","temp_min_1weeklag","Any WASH Intervention",25.5887390136719,3.40612833274884,2.76475780343646,4.18987328281328
"9770...2154","temp_min_1weeklag","Any WASH Intervention",25.5887390136719,3.40612833274884,2.77033928881564,4.1815548188823
"1299...2155","temp_min_1weeklag","Any WASH Intervention",25.589013671875,3.40617127392508,2.76480736781053,4.18990405767695
"1299...2156","temp_min_1weeklag","Any WASH Intervention",25.589013671875,3.40617127392508,2.77038881061283,4.18158574324231
"534...2157","temp_min_1weeklag","Any WASH Intervention",25.5894714355469,3.40624284876144,2.76488997874553,4.18995535933857
"534...2158","temp_min_1weeklag","Any WASH Intervention",25.5894714355469,3.40624284876144,2.77047135060565,4.18163729401724
"9696...2159","temp_min_1weeklag","Any WASH Intervention",25.5908752441406,3.40646239332296,2.76514334733278,4.19011276414034
"9696...2160","temp_min_1weeklag","Any WASH Intervention",25.5908752441406,3.40646239332296,2.77072450178732,4.18179546239778
"10921...2161","temp_min_1weeklag","Any WASH Intervention",25.59267578125,3.40674408993073,2.76546838266864,4.19031482899417
"10921...2162","temp_min_1weeklag","Any WASH Intervention",25.59267578125,3.40674408993073,2.77104925860968,4.18199850580906
"11183...2163","temp_min_1weeklag","Any WASH Intervention",25.5939880371094,3.40694946987861,2.76570531705915,4.19046222136646
"11183...2164","temp_min_1weeklag","Any WASH Intervention",25.5939880371094,3.40694946987861,2.77128599025199,4.18214661078887
"2597...2165","temp_min_1weeklag","Any WASH Intervention",25.5942321777344,3.4069876871375,2.76574940198506,4.1904896548163
"2597...2166","temp_min_1weeklag","Any WASH Intervention",25.5942321777344,3.4069876871375,2.77133003747932,4.18217417676297
"9249...2167","temp_min_1weeklag","Any WASH Intervention",25.5962463378906,3.40730306374521,2.76611315174273,4.19071611988254
"9249...2168","temp_min_1weeklag","Any WASH Intervention",25.5962463378906,3.40730306374521,2.77169347648768,4.18240173450822
"2587...2169","temp_min_1weeklag","Any WASH Intervention",25.5967956542969,3.40738910161997,2.76621237141146,4.19077792616859
"2587...2170","temp_min_1weeklag","Any WASH Intervention",25.5967956542969,3.40738910161997,2.77179261148847,4.18246383859737
"10981...2171","temp_min_1weeklag","Any WASH Intervention",25.5968872070313,3.40740344235208,2.76622890865513,4.19078822901238
"10981...2172","temp_min_1weeklag","Any WASH Intervention",25.5968872070313,3.40740344235208,2.77180913462423,4.18247419106665
"537...2173","temp_min_1weeklag","Any WASH Intervention",25.5995422363281,3.40781945859226,2.76670856719372,4.19108723484704
"537...2174","temp_min_1weeklag","Any WASH Intervention",25.5995422363281,3.40781945859226,2.77228838445883,4.18277463500067
"546...2175","temp_min_1weeklag","Any WASH Intervention",25.6045166015625,3.40859959387886,2.76760764490588,4.19164860528247
"546...2176","temp_min_1weeklag","Any WASH Intervention",25.6045166015625,3.40859959387886,2.77318669866146,4.18333869437473
"9749...2177","temp_min_1weeklag","Any WASH Intervention",25.6079650878906,3.40914096148806,2.76823124208251,4.19203866894884
"9749...2178","temp_min_1weeklag","Any WASH Intervention",25.6079650878906,3.40914096148806,2.77380976824607,4.18373061797376
"1568...2179","temp_min_1weeklag","Any WASH Intervention",25.6088806152344,3.40928476134463,2.7683968413557,4.19214234868527
"1568...2180","temp_min_1weeklag","Any WASH Intervention",25.6088806152344,3.40928476134463,2.77397522768732,4.18383479092043
"11178...2181","temp_min_1weeklag","Any WASH Intervention",25.6092468261719,3.40934228997366,2.76846308604823,4.19218383504401
"11178...2182","temp_min_1weeklag","Any WASH Intervention",25.6092468261719,3.40934228997366,2.77404141647497,4.18387647449531
"11467...2183","temp_min_1weeklag","Any WASH Intervention",25.6103759765625,3.40951970115912,2.76866735842474,4.19231180337063
